openalex_id,doi,title,year,language,type,abstract,in_jones,in_termsearch,in_snowball,n_sources,n_edges_fwd_ft,n_edges_fwd_tiab,n_cited_by_foras_any,n_cited_by_foras_tiab,n_cited_by_foras_ft,in_foras,title_has_ptsd,has_abstract,bucket,era
W2098392449,https://doi.org/10.1093/shm/16.2.209,On the Tracks of Trauma: Railway Spine Reconsidered,2003,en,article,"The nineteenth-century medical condition known as ""railway spine"" has recently received considerable attention from medical historians, particularly historians of psychiatry and related fields. An historical interpretation has developed which traces the origins of ""modern"" psychodynamic medicine to the responses of nineteenth-century medical practitioners to railway spine. This interpretation characterizes the debates over railway spine as being between adherents of ""soma"" (i.e. constrained by ""traditional"" Victorian medical thought) and ""psyche"" (i.e. looking forward to ""modern"" psychological approaches). This article argues that this conflict is too sharply drawn and produces a teleologically-driven and misleading impression of the real significance of railway spine. This condition was seen from first to last as an organic disorder, and medical/medico-legal debates over its nature were concerned with the character of the organic processes at work, not with seeking to overturn organic explanations altogether. This has important consequences for historical understanding of the place of railway spine in the emergence of twentieth-century conceptions of traumatic disorder.",True,True,False,2,0,0,0,0,0,False,False,True,LOW,1980+
W2343219957,https://doi.org/10.1056/nejm188310111091501,Possible Cerebral Origin of the Symptoms Usually Classed under Railway Spine,1883,en,article,"Recent investigations have shown that the terms "" spinal concussion "" and "" railway spine,"" long in use to designate a set of symptoms following severe injury, are not only inexact, but misleading, in that they di- rect attention to the spine as the seat of a disturbance which may be, in part at least, situated in the brain.In the extensive literature on ' railway spine "" atten- tion seems for a long time to have been drawn away from the fact that the brain is at least as liable to in- jury from ajar as the spinal cord, while under the ambiguous name "" spinal concussion"" have been grouped all the nervous symptoms following accident, even in those cases in which organic lesions have been found iu the spine on post-mortem examination.This is evidenced, for example, in the work of Erichsen on this subject.",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2340346512,https://doi.org/10.1056/nejm189101081240206,Gynecological Cases at the Carney Hospital,1891,en,article,"this subject.Out of twenty-four cases investigated by him, ten were genuine and eight were simulators ; the other six had genuine symptoms but they exag- gerated considerably and feigned additional symptoms.Three of tho cases of simulation are given at length, where local hysteria, general traumatic hysteria, and general traumatic neurosis were feigned, and the patients had successfully simulated against the examination of several physicians.Only three of the ten genuine cases had contraction of the field of vision.Rumpfs sign, of quickening of the pulse on pressure on paiuful spots, was not looked for, as Rumpf had uot then made it known.Hoffman claims that there is no method gen- erally available for detecting simulation, but he holds that, with so great a percentage of simulation in his cases, doubt must be thrown on the rarity of simula- tion claimed by Oppenheim and Striimpell.Exaggeration is certainly not uncommon, and is often due to the fact that the patient's statements as to his illness are not believed.These neuroses are of varying sorts, and are seen more commonly after slight injuries than after severe physical concussions.The courts afford an admirable school for teaching the symptoms aud for increasing the uumber of claimants.CHOREA.Meyer "" has analyzed the cases in the Berlin Char- ité.Six-tenths of one per cent, of all children treated in five years had chorea -121 cases, of whom nine per ceut.had rheumatism, thirteen per cent, heart-dis- ease, and two per cent, the two combined.Chorea, he holds, is a symptom, like convulsions, due to various causes.It may be a disease in itself, a neurosis due to psychical causes ; it may arise from organic brain disease; or a disease, due perhaps, to a rheumatic virus, which haB for its symptoms, rheumatism, heart- disease and chorea.Clinical Department.",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2107367745,https://doi.org/10.1093/brain/16.1-2.203,ON ATTACKS OF LETHARGY AND ON HYPNOTIC SUGGESTION,1893,en,article,"Journal Article ON ATTACKS OF LETHARGY AND ON HYPNOTIC SUGGESTION Get access HITZIG HITZIG Search for other works by this author on: Oxford Academic PubMed Google Scholar Brain, Volume 16, Issue 1-2, 1893, Pages 203–213, https://doi.org/10.1093/brain/16.1-2.203 Published: 01 January 1893",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2020640447,https://doi.org/10.1001/jama.1894.02421080026001m,"ON THE LIMITATIONS OF SURGERY IN THE TREATMENT OF THE NEUROSES.Read before the Michigan State Medical Society, May, 1894.",1894,en,article,"A hardy young Englishman who had followed the hounds, fallen from his horse, wrestled, boxed and enjoyed the varied experiences of an out-of-door life takes to sedentary life, hard study with little or no recreation, and having thus changed his mode of life, slips one winter morning on his own doorstep, bumps down the five successive steps on his buttocks—considers the incident simply as rather undignified and amusing, goes down town and, a few hours later, has to be assisted to his home, where he takes to his bed. He becomes paralyzed in both legs, has enormous exaggeration of the reflexes, takes to tears or laughter, elation or depression on trivial provocation, fears yet longs for his doctor's daily visits, perspires, grows cold or flushes, becomes faint, his heart palpitates, he is harassed by insomnia; in short, presents the typical symptoms of railway spine and brain and is confined to",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2103349399,https://doi.org/10.1093/brain/17.2.286,HYSTERIA AND NEURASTHENIA,1894,en,article,"Journal Article HYSTERIA AND NEURASTHENIA: VII.—Papers on the Traumatic Neurosis Get access J. MITCHELL CLARKE, M.A., M.D., M.R.C.P. J. MITCHELL CLARKE, M.A., M.D., M.R.C.P. Physician to the Bristol General Hospital Search for other works by this author on: Oxford Academic PubMed Google Scholar Brain, Volume 17, Issue 2, 1894, Pages 286–297, https://doi.org/10.1093/brain/17.2.286 Published: 01 April 1894",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W4206735500,https://doi.org/10.1001/jama.1894.02420910033007,THE VALUE OF A WOMAN'S HEALTH.,1894,en,article,"The Supreme Court of Minnesota holds, in the case of Galloway v. Chicago, Milwaukee &amp; St. Paul Railway Company, decided Jan. 30, 1894, that where the evidence tends to show that prior to sustaining a personal injury a woman was healthy and active, but by such injury is rendered a helpless invalid an award of $10,000 damages is not so large as to warrant a reviewing court in saying that they are excessive. The immediate injury in this case, for which that amount of damages was awarded, was a wound on the knee, seemingly, in and of itself, a comparatively small one. But it was claimed, and the evidence tended to prove, that this caused a nervous shock, which resulted in the development of heart disease, and in traumatic neurosis. It will further be seen to have been one of the class of cases where about the only available evidence",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W1985084668,https://doi.org/10.1097/00005053-189508000-00004,TWO CASES OF ???RAILWAY-SPINE??? WITH AUTOPSY,1895,en,article,"Clinical Professor of Nervous Diseases. Jefferson Medical College, Neurologist to the Philadelphia Hospital",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W1981938348,https://doi.org/10.1097/00005053-189610000-00019,Contribution ?? l????tude Des ??tats Cataleptiques Dans Les Maladies Mentales,1896,fr,article,"HOOK REVIEWS.7 07 strange, however, to see, for instance, traumatic epilepsy classed here under the designation of a pure functional neurosis.Parkinson's disease looks also somewhat strange under this heading.Although the patho¬ logical anatomy of this disease is still rather obscure, we yet can hardlv conceive that there should not he some organic lesion behind it which could not he discovered yet by me 111s of the technic at our disposal.C. attributes hut little importance to the traumatism itself in the causation of the diseases of this group.He finds 011 the eontrarv that the emotion connected with the circumstances under which the trauma¬ tism took place, is the chief etiological factor.It is quite otherwise Avilh group A, the grave traumatic neurosis de¬ pendent upon organic lesions.There the manner of the traumatism is etiologically of great importance, while the moral emotion plays an in¬ significant part.As has been affirmed by Yibert, the traumatism pro¬ ducing these forms of the dise-se were of a nature to produce a more or less violent physical concussion as, for instance, railroad accidents, in¬ breaks, fal's, explosions, violent shocks on the head, and the like.It would lead too far to enter upon the symptomatology, etc., of tilegrave forms of ""traumatic neurosis,"" which are described in an attract¬ ing and interesting manner.He it added, however, that according to Crocq s view, in accordance with that of Kriehsen and Yibert, the or¬ ganic lesion underlying these grave forms of "" traumatic neurosis"" is probably in most of the cases a chronic meningo-enccphalomyelitis dif¬ fusa O11 the whole the subject is treated thoroughly and critically and the reader will find the book a convenient guide on the literature of the subject which it discusses.H. ON l IF.",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W1552683784,https://doi.org/10.5962/bhl.title.59924,"How to know the wild flowers; a guide to the names, haunts, and habits of our common wild flowers",1898,en,book,"ONE of these days some one will give us a hand-book of our wild flowers, by the aid of which we shall all be able to name those we gather in our walks without the trouble of analyzing them.",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2051038250,https://doi.org/10.1001/jama.1898.72440690016002a,RAILWAY SPINE AND LITIGATION SYMPTOMS.,1898,en,article,"pentine, soap, oil, etc.To be effective the enemata should be introduced slowly with the patient in the knee-chest position, so that the fluid may traverse the whole length of the colon.Massage may be resorted to advantageously as well.Cases occur where none of these measures prove effective in breaking down and dislodging these fecal masses and the symptoms of obstruction persist.The",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W4238644653,https://doi.org/10.1001/jama.1898.02440570047025,"Transactions of the Luzerne County Medical Society for the year ending Dec. 31, 1897.",1898,en,article,"The contents of this volume comprise: ""The Hygiene of the Jews;"" ""Progressive Pernicious Anemia;"" ""Diabetes;"" ""Intubation and Antitoxin in Membranous Croup;"" ""The Modern Conception of the Nervous System;"" ""Operative Interference in Epilepsy;"" "" Discussion of Measles;"" ""Fracture of Skull and Treatment;"" ""Treatment of Phthisis;"" ""Mastoid Disease Followed by Sinus Thrombosis, Meningitis and Death;"" "" Traumatic Neurosis;"" "" Placenta Previa;"" ""Cerebral Localization;"" "" Double Consciousness;"" ""Serum Therapy;"" "" The Proposed Sanitarium for Tuberculosis at White Haven;"" "" Hematozoön Malariæ;"" "" Tetanus;"" "" Acute Diseases of the Heart;"" ""Syphilis,"" and ""The Theory of the Extension and Retraction of the Neuron Terminal."" The excellent paper and typography make this volume a credit to the Society.",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W1971314858,https://doi.org/10.1097/00005053-190008000-00021,"DIE ERKRANKUGEN DES NERVENSYSTEMS NACH UNFÄLLEN, MIT BESONDERER BERÄCKSICHTIGUNG DER UNTERSUCHUNG UND BEGUTACHTUNG",1900,de,article,"It has been 6aid with justice that it is more difficult to write an acceptable short book than an equally acceptable long 'one; The authors of the volume before us have made no effort at condensation, and the result is a somewhat tedious treatise of over 550 pages on a well-worn subject.One's feeling grows stronger with each page read that if there were fewer words and less unnecessary detail regarding matters known to every intelligent physician, the book would gain materially in force and usefulness.The hope is expressed in the preface that the book may be of use to the general practitioner of medicine, who may be called upon to give expert testimony in accident cases, as well as to the more accomplished neurologist.To this end many matters are introduced in the text which would not otherwise find a place, as, for example, de¬ tails relating to the anatomy and physiology of the nervous system, and methods of examination.This aim, so often attempted, of reaching two classes of readers widely separated in their medical training, is not, in this volume, satisfactorily attained.The specialist, in his search for fundamental principles, is annoyed by a mass of perfectly commonplace and to him self-evident details, whereas the so-called general practi¬ tioner would certainly not go to so ponderous a book for aid in the formation of his opinion.It is to be regretted, therefore, that the book was not written with the avowed purpose of appealing to experts; in that case, we should no doubt have had a briefer and more readable treatise.The authors write on the basis of a large experience and matured judgment in dealing with this always difficult class of legal cases; in all, they have made observations in approximately 30,000 cases following accident, certainly a sufficient number upon which to base conclusions of moment.As we have already indicated, not only is the general sub¬ ject covered, but numerous collateral matters are introduced, which ex¬ tend the scope of the book to a considerable degree.The views of the authors are in accord with the weight of present opinion regarding the nature of the neuroses following accident.They take the conservative ground regarding simulation which must now be regarded as established, and which they express as follows: ""Eine absolut reine Simulation bei ganz gesunden Menschen ist etwas ausserst Seltenes"" (an absolutely pure simulation in perfectly normal persons is exceedingly rare).Regarding terminology, the phrase, ""traumatic neurosis,"" is con¬ spicuous by its absence.The authors believe it a dangerous because a convenient term, and are urgent that when we are ignorant of the exact diagnosis in a given case we should use a circumlocution rather than employ the easy method of terming it a ""traumatic neurosis.""This explanation is made with a certain apology to Oppenheim and a recognition of his services in the investigation of the various morbid conditions included under that name.Sixty-nine cases are cited in con¬ siderable detail, illustrative of the various predominant forms in which the accident neuroses may manifest themselves.This is certainly a practical and valuable portion of the book.",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2015280977,https://doi.org/10.1001/jama.1900.24620380013002c,PROGNOSIS AND TREATMENT OF THE TRAUMATIC NEUROSES.,1900,en,article,"The most serious problem which arises in connection with disorders of the nervous system, following railroad or other accidents, is what the outcome will be. The first question asked of a physician when called in to examine a case of traumatic neurosis, either by the patient himself or the corporation by whom he is called, is, whether the patient will recover, and if so, in how long a time. The prognosis in the traumatic neuroses depends upon a number of circumstancess and conditions, and first of all we must determine what is meant by the ""traumatic neuroses."" Different writers on this subject seem to have views somewhat at variance. Some —for example, Oppenheim and Strümpel—consider the traumatic neuroses as a separate class of nervous diseases, making a distinction between them and traumatic neurasthenia and traumatic hysteria. At the present day, however, it is generally considered that the traumatic neuroses include",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2030514277,https://doi.org/10.1001/jama.1901.62470500033002m,REMARKS ON THE TRAUMATIC NEUROSES.,1901,en,article,"I think we are agreed in understanding traumatic neuroses to mean functional disturbance of the nervous system caused by traumatism. In the present state of society this traumatism is generally accidental. We are doubtless also agreed that in the symptomatology of the traumatic neuroses there is nothing pathognomonic of injury by violence and that a case of traumatic neurosis generally presents a picture of hysteria, neurasthenia or hypochondria, or, what is more frequent, a combination of two or all three of these neuroses. A certain admixture of melancholia is far from rare. In the diagnosis of any neurosis the most essential step is not the recognition of a neurosis, but the exclusion of organic disease. For this a single examination will not always suffice, as a combination of the two is very common, and the former may so obscure the latter as to make its prompt and positive recognition impossible.",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2044436730,https://doi.org/10.1001/jama.1901.62470460012001e,"SAMUEL FULLER—PILGRIM, DOCTOR AND DEACON.",1901,en,article,"""The names of those which came over first, in ye year 1620, and were by the blessing of God the first beginers and (in a sort) the foundation of all the Plantations and Colonies in New England; and their families.""<sup>1</sup>So reads the quaint caption of Governor William Bradford's list of the<i>Mayflower</i>passengers, appended to his ""History of Plimouth Plantation."" Among the passengers, we read the name of ""Mr. Samuell Fuller, and a servant caled William Butten. His wife was behind, a child which came afterwards.""<sup>2</sup>Bridget Fuller, the wife of ""Samuell,"" with a child who soon died, came over in the ship<i>Anne</i>, and landed at Plymouth in August, 1623; hence, both Samuel Fuller and his wife are properly classed among the ""old comers"" or the ""forefathers,"" as the forefathers included all those who came in the first three ships; the<i>Mayflower</i>, the<i>Fortune</i>, and the",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2002077843,https://doi.org/10.1192/bjp.48.202.571-a,"On Objective Signs of Disturbed Sensation in Cases of Traumatic Neurosis—so called [Ueber objective Symptome der Stürungen der Sensibilität bei den sogen traumatischen Neurosen]. (Monats. f. Psychiat. u. Neurol., February, 1901.) Bechterew",1902,en,article,"In cases of traumatic neurosis we are often called upon to decide whether complaints by patients of disturbed sensibility are well founded or due to malingering. In the present paper Bechterew draws attention to the importance in such cases of observing the objective signs of disturbed sensation—anæsthesia, hyperæsthesia, paræsthesia, or pain. Though first described by Mannkopf, the author claims priority in establishing the importance of these signs.",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2155379154,https://doi.org/10.1136/bmj.2.2429.125,A Clinical Lecture ON THE VIBRATING SENSATION IN DISEASES OF THE NERVOUS SYSTEM: Delivered at the Manchester Royal Infirmary,1907,en,article,"the foot of a vibrating tuning-fork over eubcutaneous bony prominences or surfaces, parts of the body, a pecaliar vibrating To this sensation the names of ""' vibrating sensation feeling,"" "" bone sensibility,"" and "" "" been given. Though the sensations produced tuning-forks had beenstudied by Rumpf in Germany many years ago, it was Egger, especially directed attention to the subject Subsequently the vibrating sensation has carefully studied by Seiffer and Rydel, by Goldscheider, -others in Germany, by Mdinor, and by Sterling in Russia, and by Marinesco in Roumania. Some tuning-Iorks produce a much better vibrating sensation than others. Many of the smaller English tuning forks pro- duce very little of the sensiation, and are almost useleSs in clinical work. Moreover, there is often consider-",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W4253829533,https://doi.org/10.1001/jama.1907.25220410036001k,TRAUMATIC NEUROSIS.,1907,en,article,"Traumatic neurosis is a nervous disease following injury, in which there is no demonstrable structural lesion of the nervous system. The symptoms are much like those of the common functional diseases of the nervous system, and may be spoken of as traumatic hysteria or traumatic neurasthenia. Commonly, however, we find symptoms of both of these disorders in the same patient and not rarely the clinical picture may not be that of either of them. Litigation is a frequent complication which materially affects the clinical history. It, not rarely, warps the judgment of the physician, and may doubly influence the patient, the many attendant conditions disastrously affecting his nervous system, while the money dangling over his head leads him, consciously or unconsciously, to distort his symptoms. The following cases are typical of a common form of traumatic neurosis, and a long period of observation gives special value to their study. I",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
W2048526001,https://doi.org/10.1001/jama.1909.92550030007002a,TRAUMATIC NEUROSIS,1909,en,article,"I would like to speak of a thing that I have thought of.and which I llave come to helie\'e in more and more firmly as time passes, and that is the necessity of teaching and studying this subject in a concrete way, namely, by psychopathic wards- not at a great distance from the city, not in connection with an ordinary insane asylum, but in intimate association with an ordinary general hospital.I feel sure that there ought to be a psychopathic ward in connection with every great university hospital, and in this ward disease should be studied in exactly the way that Dr. Tomlinson has pointed out.There is a psy¬ chopathic ward in Pittsburg, in connection with St. Francis Hospital.In many ways it is not ideal, but we arc trying 'n> work along the lines indicated.St. Francis is one, I think, of only two or three similar general hospitals in the United States providing a psychopathic ward.Dr. H. A. Tomlinson, St. Peter: Since coming to Atlantic City I had the opportunity to discuss with a medical friend a ease in which he went into the most minute details of the men¬ tal condition of the patient from the standpoint of modern German metaphysics, and he wondered why there had been no improvement in the condition of the patient.I discussed the case from the standpoint described in my paper, and found that there was well-defined evidence, not only in the heredity of the patient, but in the personal history, of the presence of physical conditions sufficient to determine the grafting of men¬ tal disturbance on an unstable nervous system ; as well as the signs of chronic intoxication, the persistence of which would preclude recovery.I firmly believe that if we are going to deal with insanity successfully, we must give up this futile dally¬ ing with metaphysics, and recognize that we are dealing with the general organism.",False,True,False,1,0,0,0,0,0,False,False,True,LOW,pre-1945
